measure,portname,n_overlap_days,n_changed_rows,pct_changed_rows,mean_july,mean_august,mean_ratio_august_over_july,mean_difference_august_minus_july
capacity_dry_bulk,Magellan Strait,2750,1,0.03636363636363636,78897.0970909091,78897.09672727273,0.9999999953910045,-0.00036363636900205165
capacity_dry_bulk,Oresund Strait,2750,1,0.03636363636363636,23561.73890909091,23560.111636363636,0.999930935796651,-1.627272727273521
capacity_dry_bulk,Bering Strait,2750,0,0.0,4295.785090909091,4295.785090909091,1.0,0.0
capacity_dry_bulk,Torres Strait,2750,0,0.0,117206.11090909092,117206.11090909092,1.0,0.0
capacity_general_cargo,Strait of Hormuz,2750,1278,46.47272727272727,20808.45709090909,16702.847636363636,0.8026951524272727,-4105.609454545454
capacity_general_cargo,Korea Strait,2750,14,0.5090909090909091,131971.86836363637,131950.58545454545,0.9998387314709202,-21.28290909092175
capacity_general_cargo,Kerch Strait,2750,11,0.4,27307.688,27300.075636363636,0.9997212373439903,-7.612363636362716
capacity_general_cargo,Malacca Strait,2750,10,0.36363636363636365,81168.30472727273,81158.6989090909,0.9998816555524462,-9.605818181822542
capacity_general_cargo,Taiwan Strait,2750,8,0.2909090909090909,166050.29090909092,166027.55418181818,0.9998630732463746,-22.736727272742428
capacity_general_cargo,Bosporus Strait,2750,5,0.18181818181818182,87328.98581818181,87330.556,1.0000179800761853,1.57018181818421
capacity_general_cargo,Bohai Strait,2750,4,0.14545454545454545,78424.84036363637,78421.19054545455,0.9999534609421595,-3.649818181816954
