date,y_true,posterior_median,lower_95,upper_95
2022-04-24,51.0,61.32384114897209,45.92430142518909,77.24222801426444
2022-04-25,58.0,61.30898911946218,45.25695549035496,77.5904090859457
2022-04-26,77.0,61.64649935339898,45.34601227092065,76.69589506511787
2022-04-27,61.0,61.68533796559831,45.54232826938056,77.18914595508613
2022-04-28,60.0,61.890343823270506,45.540890017691574,77.58303366726294
2022-04-29,66.0,61.9967192678868,45.843702337075555,78.1915832832626
2022-04-30,49.0,60.637545786740176,44.902668660150475,77.03714127823022
2022-05-01,59.0,60.19764019533169,44.09922718875024,75.90663911056473
2022-05-02,62.0,59.95864451995743,44.51088641393219,76.48209317895424
2022-05-03,66.0,60.50971930447736,44.08514281965599,77.2045256439838
2022-05-04,58.0,61.16917937579125,43.4580924318614,76.38073057543048
2022-05-05,67.0,61.080068671722444,45.47698801824103,77.2409375090924
2022-05-06,64.0,61.18006224020782,44.6529869089436,77.66796925605756
2022-05-07,59.0,60.44492560878566,44.57112950656296,76.33960949892685
2022-05-08,58.0,59.40488702175111,43.53868346708417,76.1237311000753
2022-05-09,67.0,58.985645695739095,42.21530110090441,74.36998161824995
2022-05-10,48.0,58.32569584457007,42.63875756020479,73.68826274894128
2022-05-11,66.0,58.471484882832726,42.60509586871453,73.57082674957749
2022-05-12,62.0,58.65866982892788,42.763427850283996,75.37057035309013
2022-05-13,42.0,58.602518327813236,42.74140209325034,73.27734098515315
2022-05-14,52.0,57.86495160122097,41.91839905602562,74.30064904873247
2022-05-15,48.0,57.66121492345957,41.17187887069819,73.80781890578885
2022-05-16,55.0,57.53348380831227,41.30874580440106,72.89499161873209
2022-05-17,65.0,58.2209233606543,42.5395394458412,75.3481220623027
2022-05-18,62.0,59.28748980558352,43.895175041047736,75.01486368097777
2022-05-19,60.0,60.01095920797073,44.13090282334882,75.73352072733361
2022-05-20,62.0,60.760320368708875,45.13872847416966,76.42307079938858
2022-05-21,58.0,60.45701458155829,44.56052279042351,75.57331968339757
2022-05-22,68.0,60.362554680432524,43.901257091925665,75.5945557953565
2022-05-23,62.0,60.020178033403155,43.40246653779637,76.23503859636428
2022-05-24,58.0,59.894774820108566,43.53924779985053,75.98908649512245
2022-05-25,45.0,60.75513995464562,44.69530339024635,77.76728939978003
2022-05-26,63.0,62.042073891555646,45.81396544933927,77.26769273539828
2022-05-27,69.0,62.54515446012476,45.81844572055619,78.3407393780803
2022-05-28,67.0,62.570882983907914,46.087581498824775,78.66709187963666
2022-05-29,62.0,62.348889582747404,45.119593153343736,78.32575769748293
2022-05-30,69.0,62.45325868236657,47.25908240674286,77.89743469161186
2022-05-31,60.0,61.944836420678655,45.74431142954184,77.91262830794504
2022-06-01,64.0,62.62632637288767,46.99420054450828,78.2851857485388
2022-06-02,70.0,62.71537025404584,47.070011395069706,78.38844165675548
2022-06-03,60.0,62.88333758031476,46.71384312773349,77.98423475753431
2022-06-04,49.0,62.316746386676265,45.55891656950499,78.00971275861905
2022-06-05,63.0,62.029823753188,46.34890117763021,78.45785733092589
2022-06-06,67.0,61.72600262885131,46.27034871440511,76.99004273275412
2022-06-07,66.0,61.77743675599733,45.900157546073714,78.62224385051077
2022-06-08,63.0,62.38194948362272,46.07198767355099,78.30438340614774
2022-06-09,60.0,62.873699705711516,47.02156142867708,78.52891529803786
2022-06-10,72.0,63.03173804181616,45.957320353759634,78.92338877690746
2022-06-11,57.0,61.92961992432118,45.253118651121966,78.13468132652744
2022-06-12,63.0,61.04956465908812,45.739667104359604,77.68434355290626
2022-06-13,42.0,60.52127783192782,44.43579386746205,77.10737002577558
2022-06-14,73.0,61.484258921848344,45.80781661454399,77.40358351734324
2022-06-15,65.0,61.821530414513596,46.77198630706995,77.97897118366059
2022-06-16,69.0,62.44135285356781,46.91528033277196,78.15845514221499
2022-06-17,60.0,62.26823977975034,46.95617254253211,79.31027336541928
2022-06-18,53.0,61.955275913617044,46.162172460204886,77.99303204267136
2022-06-19,73.0,61.10801422912138,45.34573725101448,76.97076394723194
2022-06-20,60.0,60.58830503330658,44.51538078289126,76.97913906651569
2022-06-21,48.0,60.36097337353401,44.620351661895285,75.64794168682204
2022-06-22,64.0,60.59744897137668,45.361848488639005,77.79219946340902
2022-06-23,58.0,61.748069268681846,44.79610607349127,77.64808826184213
2022-06-24,56.0,61.58060464007951,45.388474498292055,77.76903496469
2022-06-25,72.0,61.08318956751556,45.988746170105955,76.540692671473
2022-06-26,62.0,61.05048059546239,45.9746209782881,77.79190172633842
2022-06-27,71.0,60.559139694376725,44.742130663847604,76.74672689319299
2022-06-28,55.0,60.81549309739018,44.308467059651754,77.60090482623418
2022-06-29,50.0,61.09976437546074,45.416087606544984,77.04469368424883
2022-06-30,77.0,61.58773309040653,45.381371477423656,77.1140585195593
2022-07-01,54.0,61.13297979947018,45.38816602932006,78.25682558438194
