origin_rule,horizon_days,block_index,block_name,test_start,test_end,train_start,train_end,n_train_days,n_test_days
legacy_greedy_step30,30,23,legacy_23,2024-10-22,2024-11-20,2022-01-01,2024-10-21,1025,30
legacy_greedy_step30,30,24,legacy_24,2024-11-21,2024-12-20,2022-01-01,2024-11-20,1055,30
legacy_greedy_step30,30,25,legacy_25,2024-12-21,2025-01-19,2022-01-01,2024-12-20,1085,30
legacy_greedy_step30,30,26,legacy_26,2025-01-20,2025-02-18,2022-01-01,2025-01-19,1115,30
legacy_greedy_step30,30,27,legacy_27,2025-02-19,2025-03-20,2022-01-01,2025-02-18,1145,30
legacy_greedy_step30,30,28,legacy_28,2025-03-21,2025-04-19,2022-01-01,2025-03-20,1175,30
legacy_greedy_step30,30,29,legacy_29,2025-04-20,2025-05-19,2022-01-01,2025-04-19,1205,30
legacy_greedy_step30,30,30,legacy_30,2025-05-20,2025-06-18,2022-01-01,2025-05-19,1235,30
legacy_greedy_step30,30,31,legacy_31,2025-06-19,2025-07-18,2022-01-01,2025-06-18,1265,30
legacy_greedy_step30,30,32,legacy_32,2025-07-19,2025-08-17,2022-01-01,2025-07-18,1295,30
legacy_greedy_step30,30,33,legacy_33,2025-08-18,2025-09-16,2022-01-01,2025-08-17,1325,30
legacy_greedy_step30,30,34,legacy_34,2025-09-17,2025-10-16,2022-01-01,2025-09-16,1355,30
legacy_greedy_step30,30,35,legacy_35,2025-10-17,2025-11-15,2022-01-01,2025-10-16,1385,30
legacy_greedy_step30,30,36,legacy_36,2025-11-16,2025-12-15,2022-01-01,2025-11-15,1415,30
legacy_greedy_step30,30,37,legacy_37,2025-12-16,2026-01-14,2022-01-01,2025-12-15,1445,30
legacy_greedy_step30,30,38,legacy_38,2026-01-15,2026-02-13,2022-01-01,2026-01-14,1475,30
legacy_greedy_step30,65,1,legacy_01,2023-01-01,2023-03-06,2022-01-01,2022-12-31,365,65
legacy_greedy_step30,65,2,legacy_02,2023-04-01,2023-06-04,2022-01-01,2023-03-31,455,65
legacy_greedy_step30,65,3,legacy_03,2023-06-30,2023-09-02,2022-01-01,2023-06-29,545,65
legacy_greedy_step30,65,4,legacy_04,2023-09-28,2023-12-01,2022-01-01,2023-09-27,635,65
legacy_greedy_step30,65,5,legacy_05,2023-12-27,2024-02-29,2022-01-01,2023-12-26,725,65
legacy_greedy_step30,65,6,legacy_06,2024-03-26,2024-05-29,2022-01-01,2024-03-25,815,65
legacy_greedy_step30,65,7,legacy_07,2024-06-24,2024-08-27,2022-01-01,2024-06-23,905,65
legacy_greedy_step30,65,8,legacy_08,2024-09-22,2024-11-25,2022-01-01,2024-09-21,995,65
legacy_greedy_step30,65,9,legacy_09,2024-12-21,2025-02-23,2022-01-01,2024-12-20,1085,65
legacy_greedy_step30,65,10,legacy_10,2025-03-21,2025-05-24,2022-01-01,2025-03-20,1175,65
legacy_greedy_step30,65,11,legacy_11,2025-06-19,2025-08-22,2022-01-01,2025-06-18,1265,65
legacy_greedy_step30,65,12,legacy_12,2025-09-17,2025-11-20,2022-01-01,2025-09-16,1355,65
legacy_greedy_step30,65,13,legacy_13,2025-12-16,2026-02-18,2022-01-01,2025-12-15,1445,65
legacy_greedy_step30,91,1,legacy_01,2023-01-01,2023-04-01,2022-01-01,2022-12-31,365,91
legacy_greedy_step30,91,2,legacy_02,2023-05-01,2023-07-30,2022-01-01,2023-04-30,485,91
legacy_greedy_step30,91,3,legacy_03,2023-08-29,2023-11-27,2022-01-01,2023-08-28,605,91
legacy_greedy_step30,91,4,legacy_04,2023-12-27,2024-03-26,2022-01-01,2023-12-26,725,91
legacy_greedy_step30,91,5,legacy_05,2024-04-25,2024-07-24,2022-01-01,2024-04-24,845,91
legacy_greedy_step30,91,6,legacy_06,2024-08-23,2024-11-21,2022-01-01,2024-08-22,965,91
legacy_greedy_step30,91,7,legacy_07,2024-12-21,2025-03-21,2022-01-01,2024-12-20,1085,91
legacy_greedy_step30,91,8,legacy_08,2025-04-20,2025-07-19,2022-01-01,2025-04-19,1205,91
legacy_greedy_step30,91,9,legacy_09,2025-08-18,2025-11-16,2022-01-01,2025-08-17,1325,91
legacy_greedy_step30,130,1,legacy_01,2023-01-01,2023-05-10,2022-01-01,2022-12-31,365,130
legacy_greedy_step30,130,2,legacy_02,2023-05-31,2023-10-07,2022-01-01,2023-05-30,515,130
legacy_greedy_step30,130,3,legacy_03,2023-10-28,2024-03-05,2022-01-01,2023-10-27,665,130
legacy_greedy_step30,130,4,legacy_04,2024-03-26,2024-08-02,2022-01-01,2024-03-25,815,130
legacy_greedy_step30,130,5,legacy_05,2024-08-23,2024-12-30,2022-01-01,2024-08-22,965,130
legacy_greedy_step30,130,6,legacy_06,2025-01-20,2025-05-29,2022-01-01,2025-01-19,1115,130
legacy_greedy_step30,130,7,legacy_07,2025-06-19,2025-10-26,2022-01-01,2025-06-18,1265,130
