model,target,unit,counterfactual_scenario,counterfactual_sum,observed_sum,dark_rate,false_positive_rate,implied_true_total,true_reduction,reduction_attributable_to_observability
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.0,0.05,502.54999999999995,0.9445808639742936,-0.002916796632931873
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.0,0.1,476.1,0.9474976606072256,-0.005833593265863857
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.0,0.2,423.20000000000005,0.9533312538730894,-0.011667186531727602
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.05,0.0,556.8421052631579,0.9385937550961703,0.0030703122451914977
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.05,0.05,529.0,0.9416640673413618,0.0
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.05,0.1,501.15789473684214,0.9447343795865533,-0.0030703122451914977
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.05,0.2,445.47368421052636,0.9508750040769363,-0.009210936735574493
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.1,0.0,587.7777777777777,0.9351822970459576,0.006481770295404199
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.1,0.05,558.3888888888888,0.9384231821936597,0.003240885147702044
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.1,0.1,529.0,0.9416640673413618,0.0
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.1,0.2,470.2222222222223,0.948145837636766,-0.006481770295404199
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.2,0.0,661.25,0.9270800841767022,0.014583983164659586
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.2,0.05,628.1874999999999,0.9307260799678672,0.010937987373494606
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.2,0.1,595.125,0.934372075759032,0.007291991582329738
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.2,0.2,529.0,0.9416640673413618,0.0
