model,horizon_days,form,unit,episodes,censored_episodes,episode_days,eligible_days,exposure_years,episodes_per_year,mean_episode_days
global_ridge,7,scale_invariant,mona_passage,3,0,10,1429,3.912388774811773,0.7667949615115465,3.3333333333333335
global_ridge,7,scale_invariant,ombai_strait,11,0,44,1429,3.912388774811773,2.811581525542337,4.0
global_ridge,7,scale_invariant,oresund_strait,13,0,72,1429,3.912388774811773,3.3227781665500347,5.538461538461538
global_ridge,7,scale_invariant,panama_canal,6,0,27,1274,3.488021902806297,1.7201726844583987,4.5
global_ridge,7,scale_invariant,suez_canal,1,0,3,1070,2.9295003422313486,0.3413551401869159,3.0
global_ridge,7,scale_invariant,sunda_strait,4,0,37,1429,3.912388774811773,1.0223932820153954,9.25
global_ridge,7,scale_invariant,taiwan_strait,16,0,65,1429,3.912388774811773,4.0895731280615815,4.0625
global_ridge,7,scale_invariant,torres_strait,3,0,14,1429,3.912388774811773,0.7667949615115465,4.666666666666667
global_ridge,7,scale_invariant,tsugaru_strait,20,1,175,1429,3.912388774811773,5.111966410076977,8.75
global_ridge,7,scale_invariant,windward_passage,2,0,9,1429,3.912388774811773,0.5111966410076977,4.5
global_ridge,7,scale_invariant,yucatan_channel,9,0,39,1429,3.912388774811773,2.3003848845346395,4.333333333333333
global_ridge,30,raw_level,bab_el_mandeb_strait,1,0,2,1077,2.948665297741273,0.33913649025069637,2.0
global_ridge,30,raw_level,balabac_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,30,raw_level,bering_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,30,raw_level,bohai_strait,28,0,350,1429,3.912388774811773,7.156752974107767,12.5
global_ridge,30,raw_level,bosporus_strait,11,0,38,1429,3.912388774811773,2.811581525542337,3.4545454545454546
global_ridge,30,raw_level,cape_of_good_hope,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,30,raw_level,dover_strait,15,1,203,1429,3.912388774811773,3.8339748075577327,13.533333333333333
global_ridge,30,raw_level,gibraltar_strait,10,0,74,1429,3.912388774811773,2.5559832050384883,7.4
global_ridge,30,raw_level,kerch_strait,4,0,44,419,1.1471594798083504,3.486873508353222,11.0
global_ridge,30,raw_level,korea_strait,31,1,625,1429,3.912388774811773,7.923547935619314,20.161290322580644
global_ridge,30,raw_level,lombok_strait,0,0,0,1429,3.912388774811773,0.0,0.0
global_ridge,30,raw_level,luzon_strait,22,0,176,1429,3.912388774811773,5.623163051084674,8.0
global_ridge,30,raw_level,magellan_strait,0,0,0,1429,3.912388774811773,0.0,0.0
