date,fold,step,y_true,y_pred,sigma,lower,upper,model
2024-08-12,fold_20,20,2779772.0,2838626.871141212,673268.1488815678,1519045.547395388,4158208.1948870355,ar_lag1_7
2024-08-13,fold_20,21,3539626.0,2824853.9001635,653611.9460205631,1543798.026098058,4105909.774228941,ar_lag1_7
2024-08-14,fold_20,22,2141224.0,2859412.0694588483,588778.675574563,1705427.070467512,4013397.068450184,ar_lag1_7
2024-08-15,fold_20,23,2806548.0,2916568.48299167,665764.0357176571,1611694.9507830234,4221442.015200315,ar_lag1_7
2024-08-16,fold_20,24,2500269.0,2953173.9223242532,549788.5459568802,1875608.1731361235,4030739.671512382,ar_lag1_7
2024-08-17,fold_20,25,3161159.0,2941673.489379578,868222.2685765896,1239989.1123937997,4643357.8663653545,ar_lag1_7
2024-08-18,fold_20,26,3210113.0,2890744.7636010996,664146.6986599341,1589041.1537764522,4192448.3734257463,ar_lag1_7
2024-08-19,fold_20,27,2868686.0,2838711.3137106863,741411.1271334804,1385572.2067918172,4291850.420629554,ar_lag1_7
2024-08-20,fold_20,28,2539623.0,2824783.929952622,594538.4429496272,1659509.9943468308,3990057.8655584124,ar_lag1_7
2024-08-21,fold_20,29,2536932.0,2859427.1958856196,746436.6785351357,1396438.1892170513,4322416.202554187,ar_lag1_7
2024-08-22,fold_20,30,1984419.0,2916568.1319572544,438122.7220125451,2057863.3760040118,3775272.8879104964,ar_lag1_7
2024-08-23,fold_21,1,2722342.0,3004942.197773197,683156.4629298814,1665980.1346248568,4343904.260921537,ar_lag1_7
2024-08-24,fold_21,2,3008245.0,2943793.570433927,572745.8817553588,1821232.269899787,4066354.870968066,ar_lag1_7
2024-08-25,fold_21,3,2808312.0,2900330.7350351107,590354.6568035564,1743256.869594636,4057404.6004755846,ar_lag1_7
2024-08-26,fold_21,4,2728379.0,2833940.639501243,821778.045442719,1223285.2671477934,4444596.011854691,ar_lag1_7
2024-08-27,fold_21,5,2997932.0,2806057.3074627942,733313.595966825,1368789.0699942603,4243325.544931327,ar_lag1_7
2024-08-28,fold_21,6,3872663.0,2839335.3594133207,646398.6356510998,1572417.313881336,4106253.4049453046,ar_lag1_7
2024-08-29,fold_21,7,1869403.0,2874589.6345312004,586158.7971751781,1725739.5028465327,4023439.7662158674,ar_lag1_7
2024-08-30,fold_21,8,2890106.0,2954041.706540142,632454.2245072285,1714454.2046357645,4193629.208444519,ar_lag1_7
2024-08-31,fold_21,9,2566342.0,2939407.161277826,710808.0789081098,1546248.9266978255,4332565.395857826,ar_lag1_7
2024-09-01,fold_21,10,1963155.0,2888686.491068318,586781.236820276,1738616.4000967084,4038756.5820399267,ar_lag1_7
2024-09-02,fold_21,11,2105800.0,2833517.050422613,873742.241216585,1121013.7258667976,4546020.374978427,ar_lag1_7
2024-09-03,fold_21,12,3801417.0,2816404.1975423824,682274.7534216442,1479170.2532750135,4153638.1418097503,ar_lag1_7
2024-09-04,fold_21,13,3438014.0,2850222.343988251,642779.4999589755,1590397.6740679936,4110047.0139085073,ar_lag1_7
2024-09-05,fold_21,14,3055058.0,2908185.695180241,721653.057395486,1493771.6933518716,4322599.69700861,ar_lag1_7
2024-09-06,fold_21,15,3081267.0,2949413.0768441684,701188.0858781673,1575109.6821343817,4323716.471553954,ar_lag1_7
2024-09-07,fold_21,16,2272438.0,2939603.6142051513,613157.6537837846,1737836.6959438536,4141370.532466448,ar_lag1_7
2024-09-08,fold_21,17,1463154.0,2888220.210875382,471660.8346064757,1963781.9621285864,3812658.4596221773,ar_lag1_7
2024-09-09,fold_21,18,3179882.0,2833537.5487469817,519352.0382542501,1815626.258471183,3851448.83902278,ar_lag1_7
2024-09-10,fold_21,19,3337270.0,2816803.0920927743,848635.8460779283,1153507.3977903575,4480098.78639519,ar_lag1_7
2024-09-11,fold_21,20,2506369.0,2850612.203933042,655415.7859108251,1566020.8686488098,4135203.5392172732,ar_lag1_7
2024-09-12,fold_21,21,2577820.0,2909455.31285268,662920.9089251895,1610154.206760751,4208756.418944608,ar_lag1_7
2024-09-13,fold_21,22,1755925.0,2949133.447753611,582319.2860154915,1807808.6196601687,4090458.275847052,ar_lag1_7
2024-09-14,fold_21,23,3283090.0,2939633.344666379,648569.9109190608,1668459.6778086685,4210807.011524089,ar_lag1_7
2024-09-15,fold_21,24,2191239.0,2888199.809233733,535218.9649017196,1839189.9141835552,3937209.70428391,ar_lag1_7
2024-09-16,fold_21,25,3070749.0,2833539.9565186044,846536.7738993412,1174358.3680871683,4492721.544950039,ar_lag1_7
2024-09-17,fold_21,26,2237081.0,2816818.3423353992,665663.409606309,1512142.0336808993,4121494.6509898985,ar_lag1_7
2024-09-18,fold_21,27,4302220.0,2850626.088280224,723887.3464651323,1431832.9603442962,4269419.216216151,ar_lag1_7
2024-09-19,fold_21,28,3505352.0,2909503.35971247,578777.7594828835,1775119.7960732323,4043886.923351707,ar_lag1_7
2024-09-20,fold_21,29,1350703.0,2949118.821859585,726993.1640859795,1524238.4032442472,4373999.240474923,ar_lag1_7
2024-09-21,fold_21,30,2443045.0,2939635.6527906684,483204.5343109432,1992572.1683747708,3886699.1372065656,ar_lag1_7
2024-09-22,fold_22,1,3159199.0,2877174.7501994246,666008.8289850054,1571821.4320031176,4182528.0683957306,ar_lag1_7
2024-09-23,fold_22,2,4446630.0,2842896.1729661184,559197.2295628545,1746889.7427683466,3938902.6031638896,ar_lag1_7
2024-09-24,fold_22,3,2074486.0,2798777.2055212874,575533.3972601312,1670752.4749914466,3926801.9360511275,ar_lag1_7
2024-09-25,fold_22,4,4265577.0,2931653.7141653583,806137.7501790253,1351652.7572363208,4511654.671094395,ar_lag1_7
2024-09-26,fold_22,5,1490436.0,2932433.7216336047,718254.8105880035,1524680.1611584793,4340187.28210873,ar_lag1_7
2024-09-27,fold_22,6,2711369.0,2858986.0172999436,663776.2090466728,1558008.5537739347,4159963.480825952,ar_lag1_7
2024-09-28,fold_22,7,2246165.0,2901989.0016371743,603538.7517843555,1719074.784865578,4084903.21840877,ar_lag1_7
2024-09-29,fold_22,8,2764126.0,2874097.210402975,617319.7850609854,1664172.664739436,4084021.7560665132,ar_lag1_7
2024-09-30,fold_22,9,3198291.0,2832446.8900391376,697124.0694713846,1466108.821119225,4198784.95895905,ar_lag1_7
2024-10-01,fold_22,10,1817784.0,2825921.598005388,603282.8667531039,1643508.9066792277,4008334.2893315475,ar_lag1_7
2024-10-02,fold_22,11,3419473.0,2865293.5309507414,865667.4742697853,1168616.4587942078,4561970.603107274,ar_lag1_7
2024-10-03,fold_22,12,1545925.0,2910661.8500145325,711525.0800308314,1516098.319057123,4305225.380971941,ar_lag1_7
2024-10-04,fold_22,13,3331109.0,2931392.114432789,637887.895307411,1681154.8134562066,4181629.4154093703,ar_lag1_7
2024-10-05,fold_22,14,3025615.0,2917951.499598514,704674.0957855147,1536815.6510205765,4299087.3481764505,ar_lag1_7
2024-10-06,fold_22,15,1949498.0,2872726.9969665827,688679.7383070716,1522939.5130022527,4222514.480930911,ar_lag1_7
2024-10-07,fold_22,16,3656017.0,2832062.0786911887,625236.3221944692,1606621.4053637476,4057502.7520186286,ar_lag1_7
2024-10-08,fold_22,17,3178274.0,2827224.1433431185,564118.9655590176,1721571.2878514526,3932876.9988347837,ar_lag1_7
2024-10-09,fold_22,18,2617453.0,2862081.3996673017,516203.9373593159,1850340.273765272,3873822.5255693304,ar_lag1_7
2024-10-10,fold_22,19,3109942.0,2909887.4977247515,835045.3063409068,1273228.7718373574,4546546.223612145,ar_lag1_7
2024-10-11,fold_22,20,2984165.0,2934847.2173026027,642993.3040518694,1674603.499060526,4195090.935544679,ar_lag1_7
2024-10-12,fold_22,21,3827130.0,2918434.7495484785,648518.3776414635,1647362.086058864,4189507.413038092,ar_lag1_7
2024-10-13,fold_22,22,2513487.0,2872625.6253963993,601606.1924112033,1693499.1553941667,4051752.095398631,ar_lag1_7
2024-10-14,fold_22,23,2886094.0,2832051.8172845338,644194.7793064283,1569453.2508152055,4094650.3837538613,ar_lag1_7
2024-10-15,fold_22,24,2766294.0,2827286.0169654135,525404.8666903056,1797511.400950346,3857060.6329804803,ar_lag1_7
2024-10-16,fold_22,25,1921088.0,2861926.008338993,826189.8503727717,1242623.657215824,4481228.359462161,ar_lag1_7
2024-10-17,fold_22,26,2283302.0,2909863.1165890857,650651.1096180591,1634610.3752366668,4185115.8579415036,ar_lag1_7
2024-10-18,fold_22,27,3508131.0,2935011.1239448925,793509.3189368425,1379761.4374317739,4490260.81045801,ar_lag1_7
2024-10-19,fold_22,28,2203735.0,2918444.8248775294,592894.0201366503,1756393.898760529,4080495.750994529,ar_lag1_7
2024-10-20,fold_22,29,2124415.0,2872620.0976023395,770466.8590586269,1362532.8025657325,4382707.392638946,ar_lag1_7
2024-10-21,fold_22,30,1604720.0,2832051.7605773634,484955.86594227026,1881555.729239079,3782547.791915647,ar_lag1_7
2024-10-22,fold_23,1,2083152.0,2926028.2760962765,658741.5590208388,1634918.5452956657,4217138.006896886,ar_lag1_7
