period,destination_unit,destination_unit_type,unit_of_measure,measurement_basis,portfolio_js_distance,portfolio_js_zscore,portfolio_js_robust_zscore,pre_empirical_tail_p,pre_empirical_percentile,post_treatment,pre_calibration_months,coverage_note,admissibility_note
2015-05,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5426554601312028,16.868379636239766,14.935398147220688,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2015-06,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5320746675917647,16.428852521186993,14.551747077343688,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2015-07,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5263084688397096,16.189324083892235,14.34266932517118,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2015-08,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5245331468146803,16.11557704036574,14.278297569299399,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2015-09,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5317162730768495,16.413964779403546,14.538751979049044,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2015-10,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5109876044073468,15.55289393757083,13.787147041844323,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2015-11,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5570848049957103,17.467775976046962,15.45859464448293,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2015-12,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5393777416967873,16.73222290487355,14.816550699883265,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2016-01,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5571419279407045,17.470148868542775,15.460665876754035,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2016-02,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5453840644236047,16.981726114614595,15.034335155214094,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2016-03,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5518755073246926,17.251381261921406,15.269709679831706,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
