date,n_tanker_july,n_tanker_august,revision_august_minus_july,changed,ratio_august_over_july,residual__proportional_2019_2025,residual__affine_2019_2025,residual__proportional_2019_2026_02_27,residual__additive_2019_2025,default_mapping,residual_default,period,year,month
2024-11-01,55.0,47.0,-8.0,True,0.8545454545454545,1.2445726109325506,1.236364456064429,1.27868582498445,1.1243644896362923,proportional_2019_2025,1.2445726109325506,pre_onset,2024,2024-11
2024-11-02,51.0,42.0,-9.0,True,0.8235294117647058,-0.427759942589816,-0.4463147195177726,-0.39612768955987576,0.12436448963629232,proportional_2019_2025,-0.427759942589816,pre_onset,2024,2024-11
2024-11-03,59.0,44.0,-15.0,True,0.7457627118644068,-5.083094835545083,-5.0809563683533625,-5.0465006604712315,-5.875635510363708,proportional_2019_2025,-5.083094835545083,pre_onset,2024,2024-11
2024-11-04,53.0,45.0,-8.0,True,0.8490566037735849,0.9084063341713673,0.8950248682733317,0.9412790677122871,1.1243644896362923,proportional_2019_2025,0.9084063341713673,pre_onset,2024,2024-11
2024-11-05,44.0,33.0,-11.0,True,0.75,-3.604341911253961,-3.641003276786627,-3.5770513400124386,-1.8756355103637077,proportional_2019_2025,-3.604341911253961,pre_onset,2024,2024-11
2024-11-06,61.0,52.0,-9.0,True,0.8524590163934426,1.2530714412161004,1.2603832194377347,1.2909060968009314,0.12436448963629232,proportional_2019_2025,1.2530714412161004,pre_onset,2024,2024-11
2024-11-07,52.0,44.0,-8.0,True,0.8461538461538461,0.7403231957907792,0.7243550743777831,0.7725756890762057,1.1243644896362923,proportional_2019_2025,0.7403231957907792,pre_onset,2024,2024-11
2024-11-08,36.0,29.0,-7.0,True,0.8055555555555556,-0.949007018298694,-1.00636162795103,-0.92667836910109,2.1243644896362923,proportional_2019_2025,-0.949007018298694,pre_onset,2024,2024-11
2024-11-09,49.0,39.0,-10.0,True,0.7959183673469388,-1.7639262193509992,-1.7876543073088698,-1.7335344468320386,-0.8756355103637077,proportional_2019_2025,-1.7639262193509992,pre_onset,2024,2024-11
2024-11-10,50.0,37.0,-13.0,True,0.74,-4.595843080970404,-4.616984513413321,-4.564831068195957,-3.8756355103637077,proportional_2019_2025,-4.595843080970404,pre_onset,2024,2024-11
2024-11-11,61.0,50.0,-11.0,True,0.819672131147541,-0.7469285587838996,-0.7396167805622653,-0.7090939031990686,-1.8756355103637077,proportional_2019_2025,-0.7469285587838996,pre_onset,2024,2024-11
2024-11-12,59.0,43.0,-16.0,True,0.7288135593220338,-6.083094835545083,-6.0809563683533625,-6.0465006604712315,-6.875635510363708,proportional_2019_2025,-6.083094835545083,pre_onset,2024,2024-11
2024-11-13,34.0,32.0,-2.0,True,0.9411764705882353,3.7148267049401227,3.6522987842578694,3.7359148736267507,7.124364489636292,proportional_2019_2025,3.7148267049401227,pre_onset,2024,2024-11
2024-11-14,45.0,35.0,-10.0,True,0.7777777777777778,-2.436258772873366,-2.4703334828910712,-2.4083479613763643,-0.8756355103637077,proportional_2019_2025,-2.436258772873366,pre_onset,2024,2024-11
2024-11-15,39.0,36.0,-3.0,True,0.9230769230769231,3.5552423968430844,3.505647753735623,3.5794317668071542,6.124364489636292,proportional_2019_2025,3.5552423968430844,pre_onset,2024,2024-11
2024-11-16,32.0,25.0,-7.0,True,0.78125,-1.6213395718210606,-1.6890408035332314,-1.6014918836454122,2.1243644896362923,proportional_2019_2025,-1.6213395718210606,pre_onset,2024,2024-11
2024-11-17,36.0,32.0,-4.0,True,0.8888888888888888,2.050992981701306,1.99363837204897,2.07332163089891,5.124364489636292,proportional_2019_2025,2.050992981701306,pre_onset,2024,2024-11
2024-11-18,54.0,48.0,-6.0,True,0.8888888888888888,3.0764894725519625,3.0656946621688803,3.1099824463483685,3.1243644896362923,proportional_2019_2025,3.0764894725519625,pre_onset,2024,2024-11
2024-11-19,37.0,27.0,-10.0,True,0.7297297297297297,-3.7809238799181024,-3.8356918340554778,-3.7579749904650086,-0.8756355103637077,proportional_2019_2025,-3.7809238799181024,pre_onset,2024,2024-11
2024-11-20,39.0,31.0,-8.0,True,0.7948717948717948,-1.4447576031569156,-1.494352246264377,-1.4205682331928458,1.1243644896362923,proportional_2019_2025,-1.4447576031569156,pre_onset,2024,2024-11
2024-11-21,32.0,24.0,-8.0,True,0.75,-2.6213395718210606,-2.6890408035332314,-2.601491883645412,1.1243644896362923,proportional_2019_2025,-2.6213395718210606,pre_onset,2024,2024-11
2024-11-22,43.0,37.0,-6.0,True,0.8604651162790697,1.227574950365451,1.1883269293178245,1.25424528135148,3.1243644896362923,proportional_2019_2025,1.227574950365451,pre_onset,2024,2024-11
2024-11-23,48.0,38.0,-10.0,True,0.7916666666666666,-1.9320093577315873,-1.9583241012044184,-1.90223782546812,-0.8756355103637077,proportional_2019_2025,-1.9320093577315873,pre_onset,2024,2024-11
2024-11-24,33.0,25.0,-8.0,True,0.7575757575757576,-2.453256433440469,-2.5183710096376792,-2.4327885050093307,1.1243644896362923,proportional_2019_2025,-2.453256433440469,pre_onset,2024,2024-11
2024-11-25,38.0,35.0,-3.0,True,0.9210526315789473,3.387159258462489,3.334977959840071,3.410728388171073,6.124364489636292,proportional_2019_2025,3.387159258462489,pre_onset,2024,2024-11
2024-11-26,32.0,22.0,-10.0,True,0.6875,-4.621339571821061,-4.689040803533231,-4.601491883645412,-0.8756355103637077,proportional_2019_2025,-4.621339571821061,pre_onset,2024,2024-11
2024-11-27,34.0,28.0,-6.0,True,0.8235294117647058,-0.2851732950598773,-0.34770121574213064,-0.2640851263732493,3.1243644896362923,proportional_2019_2025,-0.2851732950598773,pre_onset,2024,2024-11
2024-11-28,41.0,30.0,-11.0,True,0.7317073170731707,-4.108591326395732,-4.153012658473273,-4.083161475920683,-1.8756355103637077,proportional_2019_2025,-4.108591326395732,pre_onset,2024,2024-11
2024-11-29,50.0,39.0,-11.0,True,0.78,-2.595843080970404,-2.616984513413321,-2.564831068195957,-1.8756355103637077,proportional_2019_2025,-2.595843080970404,pre_onset,2024,2024-11
2024-11-30,32.0,25.0,-7.0,True,0.78125,-1.6213395718210606,-1.6890408035332314,-1.6014918836454122,2.1243644896362923,proportional_2019_2025,-1.6213395718210606,pre_onset,2024,2024-11
2024-12-01,39.0,32.0,-7.0,True,0.8205128205128205,-0.4447576031569156,-0.494352246264377,-0.42056823319284575,2.1243644896362923,proportional_2019_2025,-0.4447576031569156,pre_onset,2024,2024-12
2024-12-02,47.0,42.0,-5.0,True,0.8936170212765957,2.8999075038878175,2.871006104900026,2.9290587958957985,4.124364489636292,proportional_2019_2025,2.8999075038878175,pre_onset,2024,2024-12
2024-12-03,21.0,14.0,-7.0,True,0.6666666666666666,-3.470254094007572,-3.5664085363842872,-3.4572290486423007,2.1243644896362923,proportional_2019_2025,-3.470254094007572,pre_onset,2024,2024-12
2024-12-04,40.0,35.0,-5.0,True,0.875,1.7233255352236725,1.6763175476311716,1.7481351454432357,4.124364489636292,proportional_2019_2025,1.7233255352236725,pre_onset,2024,2024-12
2024-12-05,30.0,25.0,-5.0,True,0.8333333333333334,0.04249415141775614,-0.030380391324332123,0.06110135908242498,4.124364489636292,proportional_2019_2025,0.04249415141775614,pre_onset,2024,2024-12
2024-12-06,25.0,23.0,-2.0,True,0.92,2.202078459514798,2.1162706391979142,2.2175844659020214,7.124364489636292,proportional_2019_2025,2.202078459514798,pre_onset,2024,2024-12
2024-12-07,33.0,27.0,-6.0,True,0.8181818181818182,-0.45325643344046895,-0.5183710096376792,-0.43278850500933075,3.1243644896362923,proportional_2019_2025,-0.45325643344046895,pre_onset,2024,2024-12
2024-12-08,26.0,20.0,-6.0,True,0.7692307692307693,-1.6298384021046104,-1.7130595669065336,-1.6137121554618972,3.1243644896362923,proportional_2019_2025,-1.6298384021046104,pre_onset,2024,2024-12
2024-12-09,32.0,26.0,-6.0,True,0.8125,-0.6213395718210606,-0.6890408035332314,-0.6014918836454122,3.1243644896362923,proportional_2019_2025,-0.6213395718210606,pre_onset,2024,2024-12
2024-12-10,36.0,29.0,-7.0,True,0.8055555555555556,-0.949007018298694,-1.00636162795103,-0.92667836910109,2.1243644896362923,proportional_2019_2025,-0.949007018298694,pre_onset,2024,2024-12
2024-12-11,39.0,26.0,-13.0,True,0.6666666666666666,-6.444757603156916,-6.494352246264377,-6.420568233192846,-3.8756355103637077,proportional_2019_2025,-6.444757603156916,pre_onset,2024,2024-12
2024-12-12,51.0,42.0,-9.0,True,0.8235294117647058,-0.427759942589816,-0.4463147195177726,-0.39612768955987576,0.12436448963629232,proportional_2019_2025,-0.427759942589816,pre_onset,2024,2024-12
2024-12-13,34.0,26.0,-8.0,True,0.7647058823529411,-2.2851732950598773,-2.3477012157421306,-2.2640851263732493,1.1243644896362923,proportional_2019_2025,-2.2851732950598773,pre_onset,2024,2024-12
2024-12-14,34.0,27.0,-7.0,True,0.7941176470588235,-1.2851732950598773,-1.3477012157421306,-1.2640851263732493,2.1243644896362923,proportional_2019_2025,-1.2851732950598773,pre_onset,2024,2024-12
2024-12-15,41.0,35.0,-6.0,True,0.8536585365853658,0.8914086736042677,0.8469873415267273,0.9168385240793171,3.1243644896362923,proportional_2019_2025,0.8914086736042677,pre_onset,2024,2024-12
2024-12-16,49.0,43.0,-6.0,True,0.8775510204081632,2.2360737806490008,2.2123456926911302,2.2664655531679614,3.1243644896362923,proportional_2019_2025,2.2360737806490008,pre_onset,2024,2024-12
2024-12-17,38.0,34.0,-4.0,True,0.8947368421052632,2.387159258462489,2.334977959840071,2.410728388171073,5.124364489636292,proportional_2019_2025,2.387159258462489,pre_onset,2024,2024-12
2024-12-18,21.0,18.0,-3.0,True,0.8571428571428571,0.5297459059924279,0.43359146361571277,0.5427709513576993,6.124364489636292,proportional_2019_2025,0.5297459059924279,pre_onset,2024,2024-12
2024-12-19,42.0,32.0,-10.0,True,0.7619047619047619,-2.9405081880151442,-2.982342864577724,-2.9144580972846015,-0.8756355103637077,proportional_2019_2025,-2.9405081880151442,pre_onset,2024,2024-12
2024-12-20,54.0,43.0,-11.0,True,0.7962962962962963,-1.9235105274480375,-1.9343053378311197,-1.8900175536516315,-1.8756355103637077,proportional_2019_2025,-1.9235105274480375,pre_onset,2024,2024-12
2024-12-21,38.0,33.0,-5.0,True,0.868421052631579,1.3871592584624892,1.3349779598400708,1.4107283881710728,4.124364489636292,proportional_2019_2025,1.3871592584624892,pre_onset,2024,2024-12
2024-12-22,38.0,33.0,-5.0,True,0.868421052631579,1.3871592584624892,1.3349779598400708,1.4107283881710728,4.124364489636292,proportional_2019_2025,1.3871592584624892,pre_onset,2024,2024-12
2024-12-23,34.0,29.0,-5.0,True,0.8529411764705882,0.7148267049401227,0.6522987842578694,0.7359148736267507,4.124364489636292,proportional_2019_2025,0.7148267049401227,pre_onset,2024,2024-12
2024-12-24,31.0,25.0,-6.0,True,0.8064516129032258,-0.7894227102016522,-0.8597105974287835,-0.7701952622814936,3.1243644896362923,proportional_2019_2025,-0.7894227102016522,pre_onset,2024,2024-12
2024-12-25,31.0,27.0,-4.0,True,0.8709677419354839,1.2105772897983478,1.1402894025712165,1.2298047377185064,5.124364489636292,proportional_2019_2025,1.2105772897983478,pre_onset,2024,2024-12
2024-12-26,35.0,32.0,-3.0,True,0.9142857142857143,2.8829098433207143,2.8229685781534215,2.904618252262832,6.124364489636292,proportional_2019_2025,2.8829098433207143,pre_onset,2024,2024-12
2024-12-27,38.0,30.0,-8.0,True,0.7894736842105263,-1.6128407415375108,-1.6650220401599292,-1.5892716118289272,1.1243644896362923,proportional_2019_2025,-1.6128407415375108,pre_onset,2024,2024-12
2024-12-28,45.0,37.0,-8.0,True,0.8222222222222222,-0.4362587728733658,-0.47033348289107124,-0.4083479613763643,1.1243644896362923,proportional_2019_2025,-0.4362587728733658,pre_onset,2024,2024-12
2024-12-29,45.0,37.0,-8.0,True,0.8222222222222222,-0.4362587728733658,-0.47033348289107124,-0.4083479613763643,1.1243644896362923,proportional_2019_2025,-0.4362587728733658,pre_onset,2024,2024-12
2024-12-30,27.0,23.0,-4.0,True,0.8518518518518519,0.5382447362759812,0.457610226989015,0.5549912231741843,5.124364489636292,proportional_2019_2025,0.5382447362759812,pre_onset,2024,2024-12
2024-12-31,35.0,28.0,-7.0,True,0.8,-1.1170901566792857,-1.1770314218465785,-1.095381747737168,2.1243644896362923,proportional_2019_2025,-1.1170901566792857,pre_onset,2024,2024-12
