date,observed_lng_volume_index,ar_counterfactual,bsts_counterfactual_median,bsts_lower_95,bsts_upper_95
2026-06-21,0.0,103.49900443032772,102.18751900053172,0.0,265.57375630146737
2026-06-22,0.0,101.8993163951337,104.78879103434237,0.0,275.73196902116354
2026-06-23,0.0,99.73901141269772,96.88292240056134,0.0,278.37415627179763
2026-06-24,0.0,98.64484319698487,96.8385970074076,0.0,270.83754868320216
2026-06-25,0.0,99.440742731391,99.5885344102969,0.0,269.8646837824459
2026-06-26,0.0,101.5273814331165,100.85207850691543,0.0,268.05398261909045
2026-06-27,0.0,103.33347780008958,105.22773348773032,0.0,271.9445847889906
2026-06-28,26.016291550181737,103.49900443032772,102.20690722899505,0.0,278.2617654972041
2026-06-29,0.0,101.8993163951337,102.31245424845253,0.0,272.9973867565571
2026-06-30,0.0,99.73901141269772,99.96085687268445,0.0,284.80940370733265
2026-07-01,0.0,98.64484319698487,100.98020540650927,0.0,275.2738103799313
2026-07-02,0.0,99.440742731391,99.54120999665342,0.0,272.59813719365235
2026-07-03,0.0,101.5273814331165,102.75789854965606,0.0,280.6233614393975
2026-07-04,0.0,103.33347780008958,100.62562973759857,0.0,274.0467272458155
2026-07-05,25.693121609352325,103.49900443032772,101.46279916787772,0.0,280.02654927359646
2026-07-06,0.0,101.8993163951337,100.19711119289357,0.0,279.8886660960409
2026-07-07,0.0,99.73901141269772,101.49252250385142,0.0,277.2752219879916
