terminal_pair,support_status,pre_sequences,post_sequences,pre_share,post_share,pre_mean_burden,post_mean_burden,terminal_radius_km,cohort
T100000130242 -> T100000130492,common,1,2,0.0010548523206751054,0.0027548209366391185,835798885.3831483,835798885.3831483,30,all_retained
T100000130242 -> T100000130575,common,1,1,0.0010548523206751054,0.0013774104683195593,239681495.27159935,244227178.80261248,30,all_retained
T100000130243 -> T100000130430,common,1,2,0.0010548523206751054,0.0027548209366391185,216479828.22990653,236099690.4625559,30,all_retained
T100000130243 -> T100000130448,common,3,5,0.0031645569620253164,0.006887052341597796,94494551.94366138,88081243.0049938,30,all_retained
T100000130243 -> T100000130522,common,1,2,0.0010548523206751054,0.0027548209366391185,66480365.721490994,59940678.988701716,30,all_retained
T100000130243 -> T100000130536,common,1,1,0.0010548523206751054,0.0013774104683195593,46615940.42719263,45246432.572834425,30,all_retained
T100000130243 -> T100000130541,common,3,1,0.0031645569620253164,0.0013774104683195593,221258547.41127595,249478572.1631407,30,all_retained
T100000130243 -> T100000130545,common,7,3,0.007383966244725738,0.004132231404958678,243634144.3799266,249958741.14659867,30,all_retained
T100000130243 -> T100000130553,common,3,2,0.0031645569620253164,0.0027548209366391185,236730098.85423264,272466933.78622484,30,all_retained
T100000130243 -> T100000130618,common,1,2,0.0010548523206751054,0.0027548209366391185,318513917.0971856,295802651.18076813,30,all_retained
T100000130245 -> T100000130427,common,1,4,0.0010548523206751054,0.005509641873278237,1062464728.9355862,1063128769.391171,30,all_retained
T100000130245 -> T100000130536,common,1,1,0.0010548523206751054,0.0013774104683195593,674400782.4569758,674400782.4569758,30,all_retained
T100000130252 -> T100000130321,common,1,1,0.0010548523206751054,0.0013774104683195593,1542333717.890762,1542333717.890762,30,all_retained
T100000130252 -> T100000130448,common,1,1,0.0010548523206751054,0.0013774104683195593,730341813.273204,732868947.5751873,30,all_retained
T100000130259 -> T100000130291,common,1,3,0.0010548523206751054,0.004132231404958678,1157534644.8648822,1366328719.1041033,30,all_retained
T100000130259 -> T100000130313,common,1,1,0.0010548523206751054,0.0013774104683195593,1493736063.8024,1843333865.9689193,30,all_retained
T100000130259 -> T100000130321,common,2,2,0.002109704641350211,0.0027548209366391185,1441170645.1171107,1425583199.9443362,30,all_retained
T100000130259 -> T100000130426,common,1,1,0.0010548523206751054,0.0013774104683195593,769794187.7632574,765370083.2358823,30,all_retained
T100000130259 -> T100000130427,common,6,7,0.006329113924050633,0.009641873278236915,1104120060.6279092,1136898135.605423,30,all_retained
T100000130259 -> T100000130448,common,4,2,0.004219409282700422,0.0027548209366391185,654381727.2211845,591140152.0221348,30,all_retained
T100000130259 -> T100000130455,common,1,1,0.0010548523206751054,0.0013774104683195593,1276081250.3471107,1040043099.993888,30,all_retained
T100000130259 -> T100000130500,common,7,6,0.007383966244725738,0.008264462809917356,586968565.3515447,565393874.7931157,30,all_retained
T100000130259 -> T100000130522,common,1,2,0.0010548523206751054,0.0027548209366391185,572457658.2278758,553231869.8432522,30,all_retained
T100000130259 -> T100000130526,common,1,1,0.0010548523206751054,0.0013774104683195593,642930721.9785342,529600560.81621635,30,all_retained
T100000130259 -> T100000130532,common,3,2,0.0031645569620253164,0.0027548209366391185,531196265.6919326,547562547.2255113,30,all_retained
T100000130273 -> T100000130320,common,1,2,0.0010548523206751054,0.0027548209366391185,202156104.46105587,190658476.01983333,30,all_retained
T100000130273 -> T100000130467,common,1,3,0.0010548523206751054,0.004132231404958678,390016044.3909509,376914730.23828334,30,all_retained
T100000130273 -> T100000130481,common,1,1,0.0010548523206751054,0.0013774104683195593,348111141.11905825,366582344.5253756,30,all_retained
T100000130278 -> T100000130284,common,1,2,0.0010548523206751054,0.0027548209366391185,126436300.4980372,128095937.64637528,30,all_retained
T100000130278 -> T100000130320,common,1,1,0.0010548523206751054,0.0013774104683195593,257540245.99624217,257540245.99624217,30,all_retained
T100000130278 -> T100000130467,common,2,1,0.002109704641350211,0.0013774104683195593,458701970.85053486,458701970.85053486,30,all_retained
T100000130294 -> T100000130291,common,4,2,0.004219409282700422,0.0027548209366391185,99244807.83898069,89722773.48319787,30,all_retained
T100000130294 -> T100000130310,common,3,1,0.0031645569620253164,0.0013774104683195593,369371251.0517695,341631021.46873176,30,all_retained
T100000130294 -> T100000130312,common,2,5,0.002109704641350211,0.006887052341597796,332426999.6008817,373859929.9859192,30,all_retained
T100000130294 -> T100000130313,common,7,4,0.007383966244725738,0.005509641873278237,322182166.19158125,329009312.76709133,30,all_retained
T100000130294 -> T100000130314,common,1,2,0.0010548523206751054,0.0027548209366391185,399517248.2744633,370427398.6344789,30,all_retained
T100000130294 -> T100000130321,common,3,2,0.0031645569620253164,0.0027548209366391185,211558698.5570867,214690967.99901766,30,all_retained
T100000130294 -> T100000130405,common,8,8,0.008438818565400843,0.011019283746556474,291186488.0987339,299158079.7538636,30,all_retained
T100000130294 -> T100000130414,common,2,1,0.002109704641350211,0.0013774104683195593,332870454.58380634,332870454.58380634,30,all_retained
T100000130294 -> T100000130467,common,6,4,0.006329113924050633,0.005509641873278237,389113918.6082925,408189813.2615831,30,all_retained
T100000130294 -> T100000130475,common,1,1,0.0010548523206751054,0.0013774104683195593,368688642.8740604,335737095.41719127,30,all_retained
T100000130294 -> T100000130513,common,2,1,0.002109704641350211,0.0013774104683195593,347884615.5791223,310398078.4165127,30,all_retained
T100000130294 -> T100000130525,common,4,1,0.004219409282700422,0.0013774104683195593,328849086.6760105,404231415.7755883,30,all_retained
T100000130294 -> T100000130710,common,2,1,0.002109704641350211,0.0013774104683195593,328591438.4129665,328591438.4129665,30,all_retained
T100000130304 -> T100000130320,common,4,4,0.004219409282700422,0.005509641873278237,496879742.02481496,511227333.35987806,30,all_retained
T100000130304 -> T100000130404,common,4,4,0.004219409282700422,0.005509641873278237,623377995.3592838,626156797.7160116,30,all_retained
T100000130304 -> T100000130467,common,6,4,0.006329113924050633,0.005509641873278237,581801504.1992275,567639604.1701828,30,all_retained
T100000130304 -> T100000130481,common,4,3,0.004219409282700422,0.004132231404958678,529529125.29216915,552264567.8300843,30,all_retained
T100000130304 -> T100000130517,common,1,2,0.0010548523206751054,0.0027548209366391185,606583679.3309429,563029560.4952618,30,all_retained
T100000130333 -> T100000130290,common,1,3,0.0010548523206751054,0.004132231404958678,537027571.9014378,579906231.8404909,30,all_retained
T100000130333 -> T100000130291,common,10,10,0.010548523206751054,0.013774104683195593,584448176.1365337,576420332.0399538,30,all_retained
T100000130333 -> T100000130310,common,1,2,0.0010548523206751054,0.0027548209366391185,750315075.2505271,736538103.5298254,30,all_retained
T100000130333 -> T100000130312,common,3,4,0.0031645569620253164,0.005509641873278237,699287141.7832936,630645459.1542586,30,all_retained
T100000130333 -> T100000130313,common,9,4,0.00949367088607595,0.005509641873278237,593698883.1349543,624250244.814328,30,all_retained
T100000130333 -> T100000130314,common,1,1,0.0010548523206751054,0.0013774104683195593,575219574.4776218,741394118.2156014,30,all_retained
T100000130333 -> T100000130321,common,1,3,0.0010548523206751054,0.004132231404958678,729823026.9818872,726166880.7966214,30,all_retained
T100000130333 -> T100000130379,common,1,1,0.0010548523206751054,0.0013774104683195593,664131381.3931361,717261891.904587,30,all_retained
T100000130333 -> T100000130386,common,3,2,0.0031645569620253164,0.0027548209366391185,706019930.7704757,711136017.2253343,30,all_retained
T100000130333 -> T100000130392,common,1,1,0.0010548523206751054,0.0013774104683195593,708829175.5632737,711690654.3573583,30,all_retained
T100000130333 -> T100000130404,common,5,2,0.005274261603375527,0.0027548209366391185,702584129.4260873,743766854.755453,30,all_retained
T100000130333 -> T100000130411,common,4,5,0.004219409282700422,0.006887052341597796,772134828.479362,774493016.3913968,30,all_retained
T100000130333 -> T100000130421,common,1,1,0.0010548523206751054,0.0013774104683195593,685818329.2799662,630275316.9718242,30,all_retained
T100000130333 -> T100000130423,common,7,6,0.007383966244725738,0.008264462809917356,662800265.728803,657062684.5130546,30,all_retained
T100000130333 -> T100000130467,common,2,2,0.002109704641350211,0.0027548209366391185,656136011.6048818,614158433.917192,30,all_retained
T100000130333 -> T100000130811,common,2,2,0.002109704641350211,0.0027548209366391185,726156006.6169398,781804496.3326577,30,all_retained
T100000130333 -> T100000130943,common,4,4,0.004219409282700422,0.005509641873278237,663968479.5003443,664541112.945364,30,all_retained
T100000130333 -> T100000130958,common,2,1,0.002109704641350211,0.0013774104683195593,695584938.821379,599297764.6364552,30,all_retained
T100000130333 -> T100000130968,common,1,2,0.0010548523206751054,0.0027548209366391185,559229515.8476769,551837401.5577363,30,all_retained
T100000130334 -> T100000130291,common,4,7,0.004219409282700422,0.009641873278236915,322216194.3089026,317086848.2345206,30,all_retained
T100000130334 -> T100000130310,common,7,1,0.007383966244725738,0.0013774104683195593,631075812.271472,603900298.8243752,30,all_retained
T100000130334 -> T100000130317,common,1,3,0.0010548523206751054,0.004132231404958678,512019752.3174243,497306541.0439351,30,all_retained
T100000130334 -> T100000130320,common,3,4,0.0031645569620253164,0.005509641873278237,469609334.8897633,495498176.4348696,30,all_retained
T100000130334 -> T100000130321,common,2,1,0.002109704641350211,0.0013774104683195593,437480665.48513925,445938112.4453089,30,all_retained
T100000130334 -> T100000130384,common,1,1,0.0010548523206751054,0.0013774104683195593,511743454.5497342,520566617.5592124,30,all_retained
T100000130334 -> T100000130467,common,7,6,0.007383966244725738,0.008264462809917356,664808498.416688,664369718.7029718,30,all_retained
T100000130334 -> T100000130531,common,1,2,0.0010548523206751054,0.0027548209366391185,640550954.9168754,661851936.7905957,30,all_retained
T100000130337 -> T100000130312,common,3,1,0.0031645569620253164,0.0013774104683195593,582170694.1120692,561851027.3285108,30,all_retained
T100000130337 -> T100000130313,common,1,1,0.0010548523206751054,0.0013774104683195593,608776690.9290751,587809759.5798563,30,all_retained
T100000130337 -> T100000130314,common,2,1,0.002109704641350211,0.0013774104683195593,633567330.8757234,619229721.5531535,30,all_retained
T100000130337 -> T100000130320,common,8,3,0.008438818565400843,0.004132231404958678,448572340.9723386,443560485.0658888,30,all_retained
T100000130337 -> T100000130321,common,2,1,0.002109704641350211,0.0013774104683195593,402416199.57691586,419283944.4693614,30,all_retained
T100000130337 -> T100000130384,common,16,15,0.016877637130801686,0.02066115702479339,411681198.7743842,421674549.18720573,30,all_retained
T100000130337 -> T100000130395,common,1,1,0.0010548523206751054,0.0013774104683195593,445002231.2155076,445559180.19074607,30,all_retained
T100000130337 -> T100000130463,common,2,1,0.002109704641350211,0.0013774104683195593,643457078.0960629,668516820.5024403,30,all_retained
T100000130337 -> T100000130467,common,7,2,0.007383966244725738,0.0027548209366391185,631517302.1325821,633829140.9445379,30,all_retained
T100000130337 -> T100000130481,common,1,2,0.0010548523206751054,0.0027548209366391185,659474387.1766987,589357857.5056129,30,all_retained
T100000130337 -> T100000130503,common,1,1,0.0010548523206751054,0.0013774104683195593,638733146.8593279,598209291.6205186,30,all_retained
T100000130337 -> T100000130517,common,3,3,0.0031645569620253164,0.004132231404958678,613620082.3869804,587810083.0453424,30,all_retained
T100000130337 -> T100000130525,common,1,1,0.0010548523206751054,0.0013774104683195593,596794564.9610085,596794564.9610085,30,all_retained
T100000130344 -> T100000130317,common,3,1,0.0031645569620253164,0.0013774104683195593,441008278.7529638,478381861.69813025,30,all_retained
T100000130344 -> T100000130320,common,3,1,0.0031645569620253164,0.0013774104683195593,466866442.84990066,463582731.832752,30,all_retained
T100000130344 -> T100000130463,common,3,3,0.0031645569620253164,0.004132231404958678,580381293.7349848,655683502.1231483,30,all_retained
T100000130344 -> T100000130467,common,11,6,0.011603375527426161,0.008264462809917356,674317142.0467287,642681464.3349895,30,all_retained
T100000130494 -> T100000130492,common,2,2,0.002109704641350211,0.0027548209366391185,197323957.3069235,197462236.18380293,30,all_retained
T100000130494 -> T100000130553,common,1,1,0.0010548523206751054,0.0013774104683195593,213073812.230568,238268350.8389122,30,all_retained
