destination_country,pre_resolved_voyages,pre_unique_imos,pre_nominal_capacity_m3,pre_expanded_m3_nm,pre_expanded_route_coverage_rate,pre_hormuz_exposed_voyages,pre_hormuz_exposed_nominal_capacity_m3,pre_hormuz_exposed_expanded_m3_nm,pre_inside_hormuz_non_crossing_voyages,pre_non_gulf_voyages,pre_non_gulf_nominal_capacity_m3,pre_non_gulf_expanded_m3_nm,post_resolved_voyages,post_unique_imos,post_nominal_capacity_m3,post_expanded_m3_nm,post_expanded_route_coverage_rate,post_hormuz_exposed_voyages,post_hormuz_exposed_nominal_capacity_m3,post_hormuz_exposed_expanded_m3_nm,post_inside_hormuz_non_crossing_voyages,post_non_gulf_voyages,post_non_gulf_nominal_capacity_m3,post_non_gulf_expanded_m3_nm,pre_hormuz_exposure_capacity_share_pct,total_capacity_percent_change,hormuz_exposed_capacity_absolute_change_m3,hormuz_exposed_capacity_percent_change,non_gulf_capacity_absolute_change_m3,non_gulf_capacity_percent_change,descriptive_non_gulf_offset_ratio,expanded_m3_nm_percent_change,country_hormuz_exposed_estimate_estimable,country_hormuz_exposed_suppression_reason
El Salvador,0,0,0.0,,,0,0.0,,0,0,0.0,,1,1,174000.0,368680867.53841895,1.0,0,0.0,,0,1,174000.0,368680867.53841895,,,,,174000.0,,,,False,post exposed voyages below 5
Finland,4,4,677000.0,3318385534.7980065,1.0,0,0.0,,0,4,677000.0,3318385534.7980065,3,2,484000.0,1568406366.9876034,1.0,0,0.0,,0,3,484000.0,1568406366.9876034,0.0,-28.508124076809448,,,-193000.0,-28.508124076809448,,-52.73586053999377,False,post exposed voyages below 5
France,75,64,12874500.0,54333192606.93745,1.0,0,0.0,,0,75,12874500.0,54333192606.93745,54,46,9276200.0,35087592487.72841,1.0,0,0.0,,0,54,9276200.0,35087592487.72841,0.0,-27.949046564915147,,,-3598300.0,-27.949046564915147,,-35.421441656185124,False,post exposed voyages below 5
Germany,15,15,2551700.0,12698931545.07403,1.0,0,0.0,,0,15,2551700.0,12698931545.07403,20,18,3491800.0,18037099736.8926,1.0,0,0.0,,0,20,3491800.0,18037099736.8926,0.0,36.8421052631579,,,940100.0,36.8421052631579,,42.03635693972434,False,post exposed voyages below 5
Greece,1,1,174000.0,1037244726.616029,1.0,0,0.0,,0,1,174000.0,1037244726.616029,4,4,698800.0,3943610149.6049557,1.0,0,0.0,,0,4,698800.0,3943610149.6049557,0.0,301.6091954022989,,,524800.0,301.6091954022989,,280.2005494374343,False,post exposed voyages below 5
Indonesia,2,2,275225.0,126436300.4980372,0.5,0,0.0,,0,2,275225.0,126436300.4980372,3,1,411000.0,256191875.29275057,0.6666666666666666,0,0.0,,0,3,411000.0,256191875.29275057,0.0,49.33236442910347,,,135775.0,49.33236442910347,,102.62525420595306,False,post exposed voyages below 5
Jamaica,2,2,348000.0,1841103988.2761288,1.0,0,0.0,,0,2,348000.0,1841103988.2761288,1,1,154200.0,192328348.7151442,1.0,0,0.0,,0,1,154200.0,192328348.7151442,0.0,-55.6896551724138,,,-193800.0,-55.6896551724138,,-89.55364010181597,False,post exposed voyages below 5
Jordan,4,4,683300.0,4776508528.756404,1.0,0,0.0,,0,4,683300.0,4776508528.756404,2,2,348000.0,2038086343.1761708,1.0,0,0.0,,0,2,348000.0,2038086343.1761708,0.0,-49.07068637494512,,,-335300.0,-49.07068637494512,,-57.33104356652745,False,post exposed voyages below 5
Kuwait,9,8,1448400.0,4588057336.839552,1.0,0,0.0,,3,6,1030400.0,4467145540.84724,3,1,465000.0,120012250.12464896,1.0,0,0.0,,3,0,0.0,,0.0,-67.89560894780448,,,-1030400.0,-100.0,,-97.38424694127039,False,post exposed voyages below 5
Lithuania,7,7,1222400.0,6706434806.319099,1.0,0,0.0,,0,7,1222400.0,6706434806.319099,3,2,472500.0,771003840.3363869,1.0,0,0.0,,0,3,472500.0,771003840.3363869,0.0,-61.34653141361257,,,-749900.0,-61.34653141361257,,-88.50352142974815,False,post exposed voyages below 5
Malaysia,27,25,4460500.0,13656376899.245852,0.8518518518518519,0,0.0,,0,27,4460500.0,13656376899.245852,31,27,5078000.0,18613525604.61876,0.9354838709677419,0,0.0,,0,31,5078000.0,18613525604.61876,0.0,13.843739491088435,,,617500.0,13.843739491088435,,36.29914978142303,False,post exposed voyages below 5
Netherlands,40,34,6850300.0,30870455740.20317,1.0,0,0.0,,0,40,6850300.0,30870455740.20317,28,25,4817500.0,20219354896.99101,1.0,0,0.0,,0,28,4817500.0,20219354896.99101,0.0,-29.674612790680698,,,-2032800.0,-29.674612790680698,,-34.50257078434069,False,post exposed voyages below 5
Panama,12,12,2052200.0,3047185588.6726537,1.0,0,0.0,,0,12,2052200.0,3047185588.6726537,12,12,2069000.0,3082787469.413059,1.0,0,0.0,,0,12,2069000.0,3082787469.413059,0.0,0.8186336614365075,,,16800.0,0.8186336614365075,,1.168352885126156,False,post exposed voyages below 5
Poland,14,13,2514000.0,13530023995.178452,1.0,0,0.0,,0,14,2514000.0,13530023995.178452,7,6,1216800.0,6502192266.146969,1.0,0,0.0,,0,7,1216800.0,6502192266.146969,0.0,-51.599045346062056,,,-1297200.0,-51.599045346062056,,-51.942492722377395,False,post exposed voyages below 5
Portugal,11,9,1893800.0,7157080208.321222,1.0,0,0.0,,0,11,1893800.0,7157080208.321222,11,9,1861320.0,7403597722.208236,1.0,0,0.0,,0,11,1861320.0,7403597722.208236,0.0,-1.715070229168869,,,-32480.0,-1.715070229168869,,3.4443866313025095,False,post exposed voyages below 5
Singapore,0,0,0.0,,,0,0.0,,0,0,0.0,,2,2,328400.0,3196276804.7857733,1.0,0,0.0,,0,2,328400.0,3196276804.7857733,,,,,328400.0,,,,False,post exposed voyages below 5
Türkiye,16,9,2587500.0,8153240393.570967,1.0,0,0.0,,0,16,2587500.0,8153240393.570967,12,8,1975900.0,6840993880.348306,1.0,0,0.0,,0,12,1975900.0,6840993880.348306,0.0,-23.636714975845408,,,-611600.0,-23.636714975845408,,-16.094785016487435,False,post exposed voyages below 5
United Arab Emirates,1,1,174000.0,1672933942.6829653,1.0,0,0.0,,0,1,174000.0,1672933942.6829653,0,0,0.0,,,0,0.0,,0,0,0.0,,0.0,-100.0,,,-174000.0,-100.0,,,False,post exposed voyages below 5
United Kingdom,20,18,3377000.0,13236141432.587036,1.0,0,0.0,,0,20,3377000.0,13236141432.587036,12,12,2066900.0,7362952878.011531,1.0,0,0.0,,0,12,2066900.0,7362952878.011531,0.0,-38.79478827361563,,,-1310100.0,-38.79478827361563,,-44.37236172254754,False,post exposed voyages below 5
