family,model,block_length_days,variant,weighting,n_series,dropped_control,minimum_pre_event_daily_transits,observed_global_statistic,historical_reference_mean,historical_reference_sd,reference_q025,reference_q950,reference_q975,one_sided_bootstrap_p_value,n_joint_resamples,equal_weighted_tanker_global,minimum_detectable_global_statistic,would_flag_a_tanker_sized_movement
non_tanker_negative_controls,ar_lag1_7,14,leave_one_control_out,equal,9,n_roro::Yucatan Channel,1.7655831739961758,0.21207893965988514,0.13304437714117526,0.02765513503188321,0.0783888945348017,0.17851135469165838,0.18689584865975342,0.0014998500149985001,10000,0.21559239498209762,0.17851135469165838,True
non_tanker_negative_controls,ar_lag1_7,14,volume_eligible_controls,equal,7,,5.154110898661568,0.06232014583957122,0.058952032194947435,0.018097667306462836,0.023758665281138153,0.0885854656736151,0.09425382107460117,0.43045695430456954,10000,0.21559239498209762,0.0885854656736151,True
non_tanker_negative_controls,ar_lag1_7,28,full_ten_control_family,equal,10,,0.9644359464627151,0.19790818424158999,0.11444022951480037,0.033654841167760734,0.04913847759304317,0.17018086915468217,0.1802362395986332,0.0057994200579942,10000,0.21559239498209762,0.17018086915468217,True
non_tanker_negative_controls,ar_lag1_7,28,full_ten_control_family,inverse_reference_variance,10,,0.9644359464627151,0.10147439525555199,0.0987863043554056,0.014401829837954608,0.07108809720642013,0.12262658745386405,0.127337979185878,0.42195780421957807,10000,0.21559239498209762,0.12262658745386405,True
non_tanker_negative_controls,ar_lag1_7,28,full_ten_control_family,pre_event_volume,10,,0.9644359464627151,0.161205112136613,0.16476605733716743,0.020599239894203283,0.12608697273115888,0.19997767788272255,0.20668030954647493,0.5524447555244476,10000,0.21559239498209762,0.19997767788272255,True
non_tanker_negative_controls,ar_lag1_7,28,leave_one_control_out,equal,9,n_dry_bulk::Cape of Good Hope,0.9644359464627151,0.184401682533137,0.09413845015320395,0.03088939633211111,0.03449867717777973,0.14523899860554904,0.15426802978869977,0.0010998900109989002,10000,0.21559239498209762,0.14523899860554904,True
non_tanker_negative_controls,ar_lag1_7,28,leave_one_control_out,equal,9,n_dry_bulk::Gibraltar Strait,0.9644359464627151,0.22034765405132883,0.12686317856540283,0.041236688365615726,0.04652334382906372,0.1952479579976303,0.20715655719696036,0.008899110088991101,10000,0.21559239498209762,0.1952479579976303,True
non_tanker_negative_controls,ar_lag1_7,28,leave_one_control_out,equal,9,n_dry_bulk::Malacca Strait,0.9644359464627151,0.19640320696129385,0.09722154054912788,0.03730207020828865,0.023477084881432707,0.15875791068860334,0.16976386790008952,0.0018998100189981002,10000,0.21559239498209762,0.15875791068860334,True
non_tanker_negative_controls,ar_lag1_7,28,leave_one_control_out,equal,9,n_dry_bulk::Panama Canal,0.9644359464627151,0.24078763644716186,0.1574511079140521,0.034696457011173396,0.08852029533101442,0.21475808042786274,0.22270336587100692,0.0052994700529947,10000,0.21559239498209762,0.21475808042786274,True
non_tanker_negative_controls,ar_lag1_7,28,leave_one_control_out,equal,9,n_dry_bulk::Yucatan Channel,0.9644359464627151,0.221170070409836,0.13487631078511395,0.03597958866614277,0.06612492441087932,0.19526899060919775,0.2049120343799458,0.007399260073992601,10000,0.21559239498209762,0.19526899060919775,True
non_tanker_negative_controls,ar_lag1_7,28,leave_one_control_out,equal,9,n_roro::Cape of Good Hope,0.9644359464627151,0.07525299896354849,0.04877952854808965,0.022941767528779123,0.0016771088573622227,0.08484568853915134,0.09089047872863562,0.11888811118888111,10000,0.21559239498209762,0.08484568853915134,True
non_tanker_negative_controls,ar_lag1_7,28,leave_one_control_out,equal,9,n_roro::Gibraltar Strait,0.9644359464627151,0.21488030465386823,0.1226131763558491,0.04012368616199287,0.043256502855083895,0.18893293840748537,0.2004392733121948,0.0082991700829917,10000,0.21559239498209762,0.18893293840748537,True
non_tanker_negative_controls,ar_lag1_7,28,leave_one_control_out,equal,9,n_roro::Malacca Strait,0.9644359464627151,0.21282409783607412,0.11081509638138805,0.03647424198312657,0.0385554117806268,0.17079954373020376,0.18064585203235364,0.000999900009999,10000,0.21559239498209762,0.17079954373020376,True
non_tanker_negative_controls,ar_lag1_7,28,leave_one_control_out,equal,9,n_roro::Panama Canal,0.9644359464627151,0.2009352508997661,0.11816788540589046,0.03480889941772596,0.050784775197990746,0.1759447788847932,0.18581103568791074,0.007899210078992101,10000,0.21559239498209762,0.1759447788847932,True
non_tanker_negative_controls,ar_lag1_7,28,leave_one_control_out,equal,9,n_roro::Yucatan Channel,1.7655831739961758,0.21207893965988514,0.13347602048988572,0.035952957165703334,0.06370617470966942,0.1934257069594367,0.2034452812166152,0.012898710128987101,10000,0.21559239498209762,0.1934257069594367,True
