model,portname,fold,origin,scored_end,regime,n_days,pre_event_mean,mean_residual,scaled_mean_residual,residual_lead_slope,scaled_residual_lead_slope
chronos2_univariate,Gibraltar Strait,fold_03,2023-09-18,2024-01-25,straddles_onset,130,43.01414913957935,-1.4320718618539663,-0.03329304171999183,-0.017510012673648608,-0.00040707564891797005
chronos2_univariate,Gibraltar Strait,fold_04,2024-01-26,2024-06-03,post_diversion,130,43.01414913957935,-3.3659668849064754,-0.07825255066615487,-0.008278721225935823,-0.0001924650700185112
chronos2_univariate,Gibraltar Strait,fold_05,2024-06-04,2024-10-11,post_diversion,130,43.01414913957935,-2.0578829545241137,-0.04784200072972171,-0.01461317699497856,-0.00033972953754261956
chronos2_univariate,Gibraltar Strait,fold_06,2024-10-12,2025-02-18,post_diversion,130,43.01414913957935,2.4095868037297175,0.05601846954848963,0.047885133357044724,0.0011132414406631456
chronos2_univariate,Gibraltar Strait,fold_07,2025-02-19,2025-06-28,post_diversion,130,43.01414913957935,-1.216430165217473,-0.02827976815884934,-0.038789446033639846,-0.0009017834087051101
chronos2_univariate,Gibraltar Strait,fold_08,2025-06-29,2025-11-05,post_diversion,130,43.01414913957935,2.7525935833270734,0.06399274746537488,-0.006352592159560309,-0.00014768610530796223
chronos2_univariate,Malacca Strait,fold_01,2023-01-01,2023-05-10,pre_diversion,130,75.48298279158699,0.19160103431114783,0.0025383341678503844,0.05156503443550023,0.0006831345626321414
chronos2_univariate,Malacca Strait,fold_02,2023-05-11,2023-09-17,pre_diversion,130,75.48298279158699,1.3043050912710337,0.017279458800300695,-0.007442461164940928,-9.859786788619637e-05
chronos2_univariate,Malacca Strait,fold_03,2023-09-18,2024-01-25,straddles_onset,130,75.48298279158699,-0.2433545626126803,-0.003223965900825577,-0.004123814089806252,-5.4632367949639034e-05
chronos2_univariate,Malacca Strait,fold_04,2024-01-26,2024-06-03,post_diversion,130,75.48298279158699,0.22697924100435696,0.0030070253269012985,0.019927532622840503,0.00026400033339781507
chronos2_univariate,Malacca Strait,fold_05,2024-06-04,2024-10-11,post_diversion,130,75.48298279158699,-1.6844728323129508,-0.022315928306170418,-0.019801528226995706,-0.0002623310247512198
chronos2_univariate,Malacca Strait,fold_06,2024-10-12,2025-02-18,post_diversion,130,75.48298279158699,-2.4338502737192007,-0.03224369498538771,-0.022472688553316328,-0.00029771860785317343
chronos2_univariate,Malacca Strait,fold_07,2025-02-19,2025-06-28,post_diversion,130,75.48298279158699,1.8478014432466947,0.024479708868270143,0.0798933418958528,0.0010584285217827582
chronos2_univariate,Malacca Strait,fold_08,2025-06-29,2025-11-05,post_diversion,130,75.48298279158699,1.4278448838454025,0.01891611633562186,0.017243461388534557,0.0002284417063398883
chronos2_univariate,Panama Canal,fold_01,2023-01-01,2023-05-10,pre_diversion,130,12.354110898661569,-0.234718183370737,-0.018999196728610078,0.006795762393942399,0.0005500810580127336
chronos2_univariate,Panama Canal,fold_02,2023-05-11,2023-09-17,pre_diversion,130,12.354110898661569,0.3953620984004093,0.03200247283220053,0.00910269684851406,0.0007368152126188407
chronos2_univariate,Panama Canal,fold_03,2023-09-18,2024-01-25,straddles_onset,130,12.354110898661569,-2.8165603124178373,-0.22798567501308253,-0.046901530732676014,-0.0037964310922413104
chronos2_univariate,Panama Canal,fold_04,2024-01-26,2024-06-03,post_diversion,130,12.354110898661569,1.9555289892049936,0.15828973895781148,0.02393583213391391,0.0019374791379367568
chronos2_univariate,Panama Canal,fold_05,2024-06-04,2024-10-11,post_diversion,130,12.354110898661569,0.8542171551631046,0.06914436515667426,0.003616654896498802,0.00029274910401610744
chronos2_univariate,Panama Canal,fold_06,2024-10-12,2025-02-18,post_diversion,130,12.354110898661569,0.44431480994591344,0.03596493617311223,0.004628095283149386,0.0003746198590180042
chronos2_univariate,Panama Canal,fold_07,2025-02-19,2025-06-28,post_diversion,130,12.354110898661569,-0.05036015877356896,-0.0040763887572860405,-0.013334883128177674,-0.0010793883297277476
chronos2_univariate,Panama Canal,fold_08,2025-06-29,2025-11-05,post_diversion,130,12.354110898661569,0.5439850440392128,0.04403271498057764,0.003965111832644179,0.0003209548518035203
chronos2_univariate,Yucatan Channel,fold_01,2023-01-01,2023-05-10,pre_diversion,130,23.074569789674953,-0.6643812766441933,-0.028792791488640463,0.004938864399623044,0.00021403928414011038
chronos2_univariate,Yucatan Channel,fold_02,2023-05-11,2023-09-17,pre_diversion,130,23.074569789674953,1.2271844277015098,0.053183415287362416,0.030717162691074735,0.001331212801411343
chronos2_univariate,Yucatan Channel,fold_03,2023-09-18,2024-01-25,straddles_onset,130,23.074569789674953,-0.16242423424353983,-0.007039101301737763,-0.01978669944244027,-0.0008575110878684339
chronos2_univariate,Yucatan Channel,fold_04,2024-01-26,2024-06-03,post_diversion,130,23.074569789674953,2.871981224646935,0.12446521217188822,0.020204042107211547,0.0008755977810798507
chronos2_univariate,Yucatan Channel,fold_05,2024-06-04,2024-10-11,post_diversion,130,23.074569789674953,1.0183628228994517,0.044133556212828405,0.0030464242948907176,0.00013202518281636106
chronos2_univariate,Yucatan Channel,fold_06,2024-10-12,2025-02-18,post_diversion,130,23.074569789674953,1.6250458350548378,0.0704258345818429,-0.03906907006837933,-0.001693165698190453
chronos2_univariate,Yucatan Channel,fold_07,2025-02-19,2025-06-28,post_diversion,130,23.074569789674953,-1.5313960295457107,-0.06636726246705392,-0.019215221936635437,-0.0008327445370285327
chronos2_univariate,Yucatan Channel,fold_08,2025-06-29,2025-11-05,post_diversion,130,23.074569789674953,1.4654408528254583,0.06350891332679107,0.017323976015669887,0.0007507821889455876
