hypothesis,model,portname,vessel_class,n_days,pre_event_mean,observed_sum,counterfactual_sum,cumulative_gap,event_statistic,historical_reference_mean,historical_reference_sd,reference_q025,reference_q975,studentized_statistic,raw_resampling_p_value,romano_wolf_p_value,stepdown_rank,family_size,n_joint_resamples,family,status,block_length_days,in_restricted_five,is_treated_anchor,is_context_corridor,volume_eligible
n_tanker::Ombai Strait,ar_lag1_7,Ombai Strait,n_tanker,130,3.7158699808795412,433.0,482.68772195025736,-49.68772195025734,-0.10285969308343264,0.0491290239157761,0.03823231986909266,-0.024580588768186903,0.12497270042232883,-3.9753987599920073,0.9999000099990001,1.0,21,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,False
n_tanker::Bohai Strait,ar_lag1_7,Bohai Strait,n_tanker,130,36.65353728489484,4246.0,4783.569355595401,-537.5693555954015,-0.11281718479322642,-0.02356280756056019,0.0219560578452294,-0.06833657636891739,0.018067513169887823,-4.065136731822711,0.9998000199980002,1.0,22,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,True
n_tanker::Dover Strait,ar_lag1_7,Dover Strait,n_tanker,130,57.932695984703635,7718.0,7560.86181492017,157.13818507982964,0.020864819931114536,0.10986640423088367,0.01745429468799746,0.0767739298986645,0.14457564072017423,-5.099122358749423,1.0,1.0,23,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,True
n_tanker::Bosporus Strait,ar_lag1_7,Bosporus Strait,n_tanker,130,23.35640535372849,2801.0,3034.2996861199326,-233.29968611993255,-0.07683600892235949,0.03227513831858846,0.021339037860395323,-0.010824368298156445,0.07350942211294903,-5.113217753995145,1.0,1.0,24,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,True
n_tanker::Oresund Strait,ar_lag1_7,Oresund Strait,n_tanker,130,11.81567877629063,1315.0,1535.9285463757512,-220.9285463757513,-0.14383010819037073,-0.010200161267320583,0.02536474438343909,-0.05909627872804769,0.0406949942343726,-5.268334066488702,1.0,1.0,25,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,True
n_tanker::Korea Strait,ar_lag1_7,Korea Strait,n_tanker,130,62.31242829827916,6932.0,8084.482884790485,-1152.482884790485,-0.1422710236470055,-0.04148245958387187,0.017563596721665912,-0.0768264312276923,-0.008045535067191883,-5.738492272417298,1.0,1.0,26,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,False,False,True
n_tanker::Malacca Strait,ar_lag1_7,Malacca Strait,n_tanker,130,75.48298279158699,9373.0,9960.4105784838,-587.4105784838002,-0.059861742929393946,0.11416087084733774,0.012849578140041158,0.08921678218234194,0.1393149888606086,-13.543060470946656,1.0,1.0,27,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,True,False,False,True
n_tanker::Strait of Hormuz,ar_lag1_7,Strait of Hormuz,n_tanker,130,54.10363288718929,529.0,7025.362323200071,-6496.362323200071,-0.9236351646656651,0.03651821898152947,0.04027652203612876,-0.04296871562494023,0.11326247705354026,-23.839034134722947,1.0,1.0,28,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,7,False,True,True,True
n_tanker::Yucatan Channel,ar_lag1_7,Yucatan Channel,n_tanker,130,23.074569789674953,4006.0,3006.9970976860895,999.0029023139101,0.33303492893486586,0.09907346645626476,0.027876866549994144,0.04553443044450089,0.15490553958719872,8.392674336587168,9.999000099990002e-05,9.999000099990002e-05,1,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,14,True,False,False,True
n_tanker::Panama Canal,ar_lag1_7,Panama Canal,n_tanker,130,12.354110898661569,1949.0,1609.2619872640091,339.738012735991,0.21153843851454512,-0.03609357752372752,0.03836108151849752,-0.11644321106059008,0.031261580514955846,6.455292870688897,9.999000099990002e-05,9.999000099990002e-05,2,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,14,True,False,False,True
