hypothesis,onset,model,portname,vessel_class,n_days,pre_onset_mean,observed_sum,counterfactual_sum,cumulative_gap,event_statistic,historical_reference_mean,historical_reference_sd,reference_q025,reference_q975,studentized_statistic,raw_resampling_p_value,romano_wolf_p_value,stepdown_rank,family_size,n_joint_resamples,family,block_length_days
n_tanker::Luzon Strait,external_onset,ar_lag1_7,Luzon Strait,n_tanker,130,24.627765486725664,3822.0,3196.938904338276,625.0610956617238,0.19523339528762956,0.09185402868380164,0.03870653948047923,0.015015880977792995,0.16719098770253765,2.670850145515203,0.0031996800319968005,0.044995500449955005,3.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Makassar Strait,external_onset,ar_lag1_7,Makassar Strait,n_tanker,130,5.382743362831858,689.0,699.882661046084,-10.882661046084063,-0.015552065486831695,0.07506473823674924,0.038707781975712056,0.0016840490966656464,0.1523556900771939,-2.3410487271122946,0.9933006699330067,1.0,15.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Malacca Strait,external_onset,ar_lag1_7,Malacca Strait,n_tanker,130,72.55530973451327,10754.0,9578.501378272991,1175.498621727009,0.12462626268558953,0.11923803183134751,0.03869675735060649,0.03916228632856296,0.1889491726341067,0.1392424384664254,0.46465353464653536,0.9717028297170283,10.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Oresund Strait,external_onset,ar_lag1_7,Oresund Strait,n_tanker,130,11.860619469026549,1519.0,1542.7006462028571,-23.700646202857126,-0.015371259787484281,-0.027945945846041625,0.026306058702663084,-0.07806177309143583,0.025542747268496365,0.4780148254319964,0.3066693330666933,0.9584041595840416,8.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Sunda Strait,external_onset,ar_lag1_7,Sunda Strait,n_tanker,130,10.803097345132743,1554.0,1405.8659345296428,148.13406547035729,0.10547834337749727,0.029095782884957105,0.03300225197598382,-0.03609375200984458,0.0924292701171354,2.3144651022034735,0.0096990300969903,0.10578942105789421,5.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Taiwan Strait,external_onset,ar_lag1_7,Taiwan Strait,n_tanker,130,58.26327433628319,6569.0,7557.032764524085,-988.032764524085,-0.13044670285665066,-0.09006811659010303,0.021246670177027395,-0.12956940855513055,-0.04644425327107073,-1.900466563942161,0.9785021497850215,1.0,14.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Tsugaru Strait,external_onset,ar_lag1_7,Tsugaru Strait,n_tanker,130,12.018805309734514,1471.0,1559.8378334104552,-88.83783341045527,-0.05685822606325998,-0.020319799273789862,0.038843561864042864,-0.09613939243209016,0.05600923878214151,-0.9406559294783264,0.825917408259174,0.9994000599940006,12.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Yucatan Channel,external_onset,ar_lag1_7,Yucatan Channel,n_tanker,130,21.99778761061947,3073.0,2858.258181366049,214.74181863395103,0.07509210346865276,0.03869959573351344,0.02020771067184355,-0.0012730871839732741,0.07777139761447231,1.8009218523623702,0.0324967503249675,0.30146985301469853,6.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Bab el-Mandeb Strait,external_onset,chronos2_univariate,Bab el-Mandeb Strait,n_tanker,130,20.027101769911503,1822.0,3514.083604812622,-1692.083604812622,-0.6499206864211874,0.04595868902573209,0.02965360810876585,-0.00769741171262839,0.10608954447627504,-23.466937746479893,1.0,1.0,16.0,16.0,10000.0,eligible_receiver_family,14
n_tanker::Bohai Strait,external_onset,chronos2_univariate,Bohai Strait,n_tanker,130,37.0033185840708,4705.0,4816.816757202148,-111.81675720214844,-0.023244642223123647,-0.018566893314771515,0.031066220547917564,-0.07646008772412338,0.045145094827026284,-0.15057347903447146,0.5442455754424558,0.9944005599440056,10.0,16.0,10000.0,eligible_receiver_family,14
