model,league,panel,fold,horizon,portname,vessel_class,common_95_coverage,common_width_scaled,n_coverage_days,native_95_coverage
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Balabac Strait,n_general_cargo,0.9769230769230769,3.5926799557250746,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Balabac Strait,n_roro,0.9461538461538461,3.862667323270156,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Balabac Strait,n_tanker,1.0,4.602493183868936,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bering Strait,n_container,0.9153846153846154,3.2970973265260692,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bering Strait,n_dry_bulk,0.8076923076923077,3.3249855495906635,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bering Strait,n_general_cargo,0.7615384615384615,3.1923132286381404,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bering Strait,n_roro,1.0,3.7944271482863265,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bering Strait,n_tanker,0.8384615384615385,3.6725804964063506,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bohai Strait,n_container,0.9846153846153847,5.335744018480332,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bohai Strait,n_dry_bulk,0.9846153846153847,5.258492783268029,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bohai Strait,n_general_cargo,1.0,4.838280661906462,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bohai Strait,n_roro,0.9538461538461539,5.184247928941357,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bohai Strait,n_tanker,1.0,5.743161106825182,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bosporus Strait,n_container,0.9307692307692308,5.096417501253792,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bosporus Strait,n_dry_bulk,0.9846153846153847,5.237777874946049,130,
