panel,portname,vessel_class,n_days,adf_t_constant_weekday_lag7,approx_adf_reject_5pct,ar_phi1,ar_phi7,ar17_companion_spectral_radius,near_unit_root_radius_ge_0_995
composition_28x5,Korea Strait,n_dry_bulk,2615,-14.46001566864963,True,0.16742110665591417,0.08095999591017118,0.7249853908159871,False
composition_28x5,Korea Strait,n_general_cargo,2615,-12.896477638641876,True,0.19481837676070116,0.08211346537702142,0.7313654292070749,False
composition_28x5,Korea Strait,n_roro,2615,-14.249309031644085,True,-0.02677503036467452,0.0931765226966724,0.7159429388149787,False
composition_28x5,Korea Strait,n_tanker,2615,-13.416134861976532,True,0.13405317938675934,0.08959655451081172,0.7293364775227626,False
composition_28x5,Lombok Strait,n_container,2615,-18.110234657519257,True,-0.05991611156452872,0.020842144874812712,0.5832077258042354,False
composition_28x5,Lombok Strait,n_dry_bulk,2615,-11.898647097922577,True,0.0914677165520443,0.13581676321278133,0.7656485965004539,False
composition_28x5,Lombok Strait,n_general_cargo,2615,-16.062311642725824,True,-0.03816460083703469,0.02254913183864529,0.5867592802745545,False
composition_28x5,Lombok Strait,n_roro,2615,-15.560964005471527,True,0.0034314035461663235,0.046453094460927956,0.6455118266309002,False
composition_28x5,Lombok Strait,n_tanker,2615,-17.338037286561363,True,-0.03890844798694496,0.01676279928064857,0.562734477273265,False
composition_28x5,Luzon Strait,n_container,2615,-12.399660493332581,True,0.33123151295277986,0.1204818958524181,0.7979530300702755,False
composition_28x5,Luzon Strait,n_dry_bulk,2615,-11.116423480491138,True,0.38943490695606403,0.09965107401376772,0.7922964298189538,False
composition_28x5,Luzon Strait,n_general_cargo,2615,-14.97446032736949,True,0.22302696935990443,0.04617735029712858,0.6819864893654431,False
composition_28x5,Luzon Strait,n_roro,2615,-15.516429230091425,True,0.08940871936821018,0.03197981007971329,0.625153084178426,False
composition_28x5,Luzon Strait,n_tanker,2615,-11.505488356369037,True,0.30776500401229784,0.09636881895606456,0.7700299203000252,False
composition_28x5,Magellan Strait,n_container,2615,-23.836304699098232,True,-0.13449135843549107,0.0033983573348154083,0.46299260941551257,False
composition_28x5,Magellan Strait,n_dry_bulk,2615,-13.39755916674638,True,0.08355908178255296,0.0868122097350722,0.7178708801945192,False
composition_28x5,Magellan Strait,n_general_cargo,2615,-14.569608501802195,True,0.04095887472559588,0.037613426724497696,0.631881178911405,False
composition_28x5,Magellan Strait,n_roro,2615,-21.04203283891744,True,-0.03477118497320636,-0.05530796265639802,0.6663816862850119,False
composition_28x5,Magellan Strait,n_tanker,2615,-16.31272289993101,True,0.01234413177920702,0.017343917354745116,0.5621176586431919,False
composition_28x5,Makassar Strait,n_container,2615,-15.162282089236221,True,-0.05070667745480316,0.11523565836681686,0.7410830914941138,False
