model,league,panel,fold,horizon,origin,portname,vessel_class,mask_group,diagnostics,mae,rmse,mase,horizon_bias_mase,cumulative_bias,relative_cumulative_bias,n_days
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Dover Strait,n_roro,6,,3.533333333333333,4.219004621945797,1.0549212867898698,-0.2587542778918549,-26.0,-0.0783132530120482,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Dover Strait,n_roro,6,,3.6788262129782123,4.252453602348079,1.0983600233409283,0.1216229483389403,12.220847835157619,0.036809782636016926,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Dover Strait,n_tanker,6,,10.733333333333333,12.013880860626733,1.223253383497936,-0.5394471442754873,-142.0,-0.07517204870301747,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Dover Strait,n_tanker,6,,10.720442706944208,12.648955712220463,1.221784268372541,-0.9831027758088821,-258.7845642455925,-0.1369955342750622,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Gibraltar Strait,n_container,0,,6.966666666666667,9.060905032059436,1.188633341156223,-0.11943205820229993,-21.0,-0.02169421487603306,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Gibraltar Strait,n_container,0,,4.806496766495415,5.936098829921149,0.8200711450932098,-0.20866654954953,-36.690295775675956,-0.03790319811536772,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Gibraltar Strait,n_dry_bulk,0,,11.066666666666666,12.989739540627184,1.8223027557568894,0.7464854662136655,136.0,0.1475054229934924,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Gibraltar Strait,n_dry_bulk,0,,5.719561894801387,7.749124413907612,0.9418168737306022,-0.2882147581118315,-52.50900235476215,-0.05695119561254029,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Gibraltar Strait,n_general_cargo,0,,6.133333333333334,7.54983443527075,1.093679993459243,0.2615321723489494,44.0,0.06929133858267716,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Gibraltar Strait,n_general_cargo,0,,4.952377292214862,5.910894032644017,0.8830949942212913,0.19070219326640447,32.083611084475834,0.050525371786576116,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Gibraltar Strait,n_roro,0,,2.533333333333333,3.3166247903554,1.0175322283609576,0.08033149171270719,6.0,0.03680981595092025,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Gibraltar Strait,n_roro,0,,1.4608537525115577,1.741552713629504,0.5867628055667969,-0.15621040162575814,-11.667434399282897,-0.07157935214283985,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Gibraltar Strait,n_tanker,0,,8.666666666666666,10.334408546211051,1.179237631792376,-0.036284234824380805,-8.0,-0.00535475234270415,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Gibraltar Strait,n_tanker,0,,10.793994939512837,12.71960765768646,1.468694426544232,-1.2363430212175262,-272.59067795179817,-0.18245694642021296,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Kerch Strait,n_container,1,,0.43333333333333335,0.6582805886043833,1.095768115942029,0.08428985507246377,1.0,0.14285714285714285,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Kerch Strait,n_container,1,,0.37808406164104386,0.4242447352282994,0.9560595228279614,0.10374812164038998,1.2308494486222332,0.1758356355174619,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Kerch Strait,n_dry_bulk,1,,1.2,1.4605934866804429,0.8400577756379393,-0.3266891349703097,-14.0,-0.4375,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Kerch Strait,n_dry_bulk,1,,1.1242061983298064,1.3340664697590245,0.7869984652727676,0.3924766299861485,16.819270161235842,0.5256021925386201,30
